aX,aY,aZ,Gx,Gy,Gz
0.991,-1.818,2.077,128.784,-40.222,44.434
0.603,1.794,1.66,79.468,-36.682,-37.292
0.703,5.675,1.751,5.371,-27.039,-131.165
0.737,5.584,-0.474,-50.11,-18.066,-47.058
1.536,5.484,0.574,-98.084,-6.836,75.928
0.522,1.799,0.005,-108.276,0.0,56.58
-0.005,-1.622,-1.254,-82.031,-6.287,4.456
4.326,-4.656,-1.9,-19.287,-14.526,-53.04
4.216,-4.158,-1.866,45.105,-14.954,80.811
1.986,-0.134,-2.656,77.515,-29.48,142.578
-0.23,1.943,-1.948,59.57,-50.049,106.445
1.105,3.761,-1.168,14.343,-55.969,16.602
2.579,1.962,-4.163,-37.72,-47.485,-68.848
3.589,0.89,-2.996,-67.993,-32.959,-97.961
1.019,-1.12,-1.794,-66.345,-23.193,-38.574
0.172,-2.129,-2.852,-19.043,-25.33,-9.705
-0.842,-3.752,-1.546,55.237,-35.706,45.776
-0.239,-1.072,-1.297,127.502,-57.739,124.817
0.038,1.771,-1.871,128.479,-72.693,84.351
-0.01,2.445,-0.474,85.938,-71.594,-9.644
0.086,1.976,-1.469,33.691,-56.152,-68.726
1.416,1.809,0.014,-8.545,-34.607,-71.35
2.345,-0.134,1.79,-43.335,-13.184,-43.701
-0.957,-0.024,1.833,-61.584,-2.136,15.259
-0.196,-2.058,0.325,-57.068,-3.174,13.611
-0.622,-2.598,1.737,-21.851,-13.428,-55.786
-1.101,-2.689,-0.636,25.513,-26.733,33.997
-1.699,0.368,-0.177,43.152,-35.095,147.461
-1.814,4.216,-0.345,10.925,-37.109,73.914
-0.416,4.766,-2.082,-52.49,-26.55,-60.852
-1.058,5.637,-4.436,-112.915,-17.639,-94.421
-1.957,0.11,-3.354,-123.718,-24.048,-107.361
-2.216,-3.847,-2.086,-60.425,-39.429,-36.743
-1.445,-2.842,-1.68,17.151,-49.194,48.706
-1.335,0.66,-1.933,63.477,-56.213,37.598
-1.278,2.306,-2.321,56.03,-47.791,33.813
-0.679,4.168,-1.89,21.79,-32.471,20.142
1.364,4.398,-2.55,-30.273,-7.385,-38.513
0.904,2.445,-3.0,-57.922,12.512,-35.095
0.474,-1.215,-1.373,-39.734,22.156,22.339
0.278,-2.943,-0.66,27.893,16.357,74.463
-0.287,-1.067,-0.78,84.778,2.441,133.301
-0.34,1.565,-1.134,102.051,-10.864,104.126
-0.23,1.885,-0.665,81.97,-4.272,36.804
2.005,3.445,-1.196,40.222,23.621,26.672
4.656,3.455,-2.651,-9.399,72.693,67.993
1.196,4.469,-3.675,-43.213,101.257,83.74
-2.929,-2.149,-1.828,-17.395,89.905,155.518
-4.149,-0.761,-2.216,41.382,52.429,196.777
-2.938,1.455,-4.0,92.773,10.498,110.413
-0.598,1.55,-3.388,107.971,11.841,40.222
0.574,1.943,-4.575,94.788,42.236,35.156
-1.699,3.45,-5.053,48.035,72.571,47.241
-5.718,1.838,-4.369,-0.977,62.561,-0.305
-9.542,-0.641,-1.962,-38.94,-5.737,-75.012
-11.709,0.512,-1.861,-60.547,-118.53,-104.492
-11.623,2.426,-2.354,-86.365,-217.835,-147.156
-8.948,4.484,-3.957,-127.075,-317.688,-180.481
-6.91,5.804,-5.446,-165.283,-386.963,-180.481
-7.072,7.551,-5.321,-206.299,-455.994,-137.512
-7.144,9.604,-3.819,-251.221,-538.94,-179.627
-15.045,15.365,7.427,-282.898,-627.564,-74.402
-29.481,59.628,45.301,-487.671,-675.171,294.434
73.878,45.66,48.124,-811.218,-186.707,-623.535
144.048,51.254,-9.326,-872.925,1521.545,598.511
128.4,1.292,-34.214,146.668,1379.211,512.878
19.839,64.265,-14.829,777.161,1779.785,673.096
10.145,-12.236,50.646,132.202,1544.312,-66.589
-3.278,-57.513,31.166,-203.857,976.013,120.544
-19.715,-28.266,20.15,-244.751,330.994,336.365
-8.159,-21.036,16.643,-267.944,-83.008,85.327
3.656,-20.418,11.81,-122.864,-183.228,-30.334
2.115,-14.705,9.934,41.565,-146.118,-210.449
-0.493,-12.365,9.039,97.534,-74.768,-120.361
-2.287,-5.201,6.493,72.693,-19.287,-129.15
-2.431,4.646,3.847,-9.338,6.775,-98.999
-6.35,9.68,-0.282,-132.08,-0.793,-117.92
-2.005,10.135,-2.56,-248.108,-38.635,-180.176
-1.383,7.35,-3.852,-297.546,-85.632,-199.829
-2.885,9.972,-2.766,-306.58,-151.978,-205.872
-3.488,11.996,-3.953,-277.588,-205.994,-201.294
-2.842,11.441,-4.144,-224.365,-238.098,-263.489
-3.101,15.513,-5.503,-177.979,-247.986,-164.795
